trial_start, tonetype
4315560,1
4316810,0
4319309,2
4321792,0
4325559,2
4330559,0
4336808,0
4338058,1
4344291,0
4345541,2
4348041,0
4349291,2
4354291,0
4355540,2
4359290,2
4360540,1
4361790,0
4363040,0
4364290,0
4366790,2
4370523,1
4374273,1
4376772,1
4379272,2
4380522,2
4383022,0
4384272,0
4385522,0
4393022,1
4394272,2
4398021,1
4400521,0
4401771,1
4403021,2
4406771,1
4408021,0
4409254,1
4414254,1
4415504,2
4418003,0
4420503,0
4424253,2
4426753,1
4428003,0
4431753,1
4433002,0
4434252,2
4435503,2
4439252,2
4440502,2
4441752,0
4446752,0
4448002,0
4449251,1
4450501,2
4451751,1
4459234,1
4461734,2
4462984,0
4472984,2
4474233,0
4475483,0
4481733,2
4484233,1
4485483,2
4489233,0
4495482,1
4497982,2
4502982,2
4504232,0
4506731,2
4507981,0
4517981,0
4519231,2
4520481,2
4521730,2
4527980,2
4531713,0
4532963,2
4534213,1
4536713,2
4537963,2
4540463,2
4544212,1
4545463,2
4546713,2
4547962,0
4549212,0
4550462,0
4551712,1
4557962,2
4559212,1
4560462,0
4561711,1
4562962,2
4564211,1
4566711,1
4567961,1
4570461,0
4572961,0
4574211,1
4577961,1
4580461,1
4582960,1
4585460,2
4590460,2
4592943,2
4595443,1
4596693,1
4602942,1
4604192,0
4605442,1
4606692,1
4607942,2
4619191,1
4622941,1
4629174,1
4631674,1
4632924,2
4637924,0
4639174,0
4640423,0
4641674,0
4644173,0
4646673,2
4647923,2
4649173,0
4651656,2
4660406,0
4661656,1
4664155,1
4666655,1
4667905,0
4669155,0
4671655,2
4675405,0
4680404,0
4681654,1
4682904,2
4684154,1
4685387,2
4687887,1
4689137,1
4694137,1
